帖子编号,固定链接,发布消息,类型,国家/地区,语言,发了帖子,受众定位,广告发布期间帖子总覆盖人数,广告发布期间帖子自然覆盖人数,广告发布期间帖子付费覆盖人数,广告发布期间帖子总展示次数,广告发布期间帖子自然展示次数,广告发布期间帖子付费展示次数,广告发布期间互动用户人数,广告发布期间帖子消费者人数,广告发布期间帖子使用量,广告发布期间的负面反馈,广告发布期间用户负面反馈次数,广告发布期间帖子对赞主页用户的展示次数,广告发布期间帖子覆盖人数（按赞主页的用户）,广告发布期间帖子对赞主页用户的展示次数,广告发布期间帖子对赞主页用户的付费覆盖人数,广告发布期间赞主页和与帖子互动的用户人数,"广告发布期间 95% 自然观看量","广告发布期间 95% 自然观看量","广告发布期间 95% 视频付费观看量","广告发布期间 95% 视频付费观看量",广告发布期间视频自然观看量,广告发布期间视频自然观看量,广告发布期间视频付费观看量,广告发布期间视频付费观看量,广告发布期间的视频平均观看时间,视频总时长,"广告发布期间（帖子）谈论次数（按操作类型） - share","广告发布期间（帖子）谈论次数（按操作类型） - like","广告发布期间（帖子）谈论次数（按操作类型） - comment","广告发布期间的帖子动态（按操作类型） - share","广告发布期间的帖子动态（按操作类型） - like","广告发布期间的帖子动态（按操作类型） - comment","广告发布期间帖子消费者（按类型） - other clicks","广告发布期间帖子消费者（按类型） - photo view","广告发布期间帖子消费者（按类型） - video play","广告发布期间帖子消费者（按类型） - link clicks","广告发布期间帖子使用量 - 按类型 - other clicks","广告发布期间帖子使用量 - 按类型 - photo view","广告发布期间帖子使用量 - 按类型 - video play","广告发布期间帖子使用量 - 按类型 - link clicks","广告发布期间用户负面反馈次数 - 按类型 - hide_clicks","广告发布期间用户负面反馈次数 - 按类型 - hide_all_clicks","广告发布期间用户负面反馈次数 - 按类型 - unlike_page_clicks","广告发布期间用户负面反馈次数 - 按类型 - report_spam_clicks","广告发布期间的负面反馈 - hide_clicks","广告发布期间的负面反馈 - hide_all_clicks","广告发布期间的负面反馈 - unlike_page_clicks","广告发布期间的负面反馈 - report_spam_clicks"
169799706487474_1238966906237410,https://www.facebook.com/CGTNFrancais/videos/1238966906237410/,"Le ministre chinois des Affaires étrangères #WangYi : “ Le financement chinois n’alourdit pas la dette de l’#Afrique. ”
Lors d'une conférence de presse tenue conjointement avec son homologue angolais, le ministre Wang a refuté les accusations selons lesquelles le financement du développement en Afrique par la Chine alourdirait la dette du continent. Il a ajouté que la Chine n'imposerait jamais ses propres idées aux pays africains auxquels elle fournirait de l'aide ou avec lesquels elle coopérerait.",Video,,,"01/15/2018 11:20:00 PM"," ",21854,21559,0,42127,41466,0,1028,861,1503,3,3,40620,20943,0,0,936,170,176,0,0,1985,1999,0,0,3573,51539,12,190,7,12,194,8,795,8,413,,1032,9,462,,2,1,,,2,1,,
169799706487474_1238966609570773,https://www.facebook.com/CGTNFrancais/posts/1238966609570773,"La #CoréeduSud a accepté lundi que la République populaire démocratique de Corée (#RPDC) envoie un #orchestre de 140 membres aux Jeux olympiques d'hiver de 2018 organisés en Corée du Sud, a annoncé le ministère de l'Unification de Séoul.

L'accord est le fruit de la rencontre des représentants des deux pays à Tongilgak, bâtiment de RPDC situé à Panmunjeom, à la frontière lourdement gardée entre les deux Corée.",Photo,,,"01/15/2018 10:30:00 PM"," ",47465,46796,0,85045,84217,0,1324,782,903,1,1,83164,46072,0,0,1269,0,0,0,0,0,0,0,0,0,0,15,542,10,16,553,12,389,413,,,459,444,,,,1,,,,1,,
169799706487474_1238883866245714,https://www.facebook.com/CGTNFrancais/videos/1238883866245714/,"#CorrespondantsSpéciaux Le vélo à partager débarque à #Paris 
En novembre, Le leader mondial du vélo sans borne chinois #OFO a annoncé prévoir le déploiement de 20 millions de vélos dans les rue de 20 pays autour du monde. Depuis un mois, on voit des vélos jaunes dans la capital française. Est-ce que ça marche aussi bien qu’en Asie? Nous partons pour une course en vélo avec notre correpondante en France Weiyu Qian.@Weiyu Tsien",Video,,,"01/15/2018 09:30:00 PM"," ",35047,34888,0,62206,61961,0,1902,1735,2966,7,7,60186,33795,0,0,1721,310,310,0,0,5049,5307,0,0,8700,142355,23,280,3,23,282,4,1578,1,917,,1948,1,1017,,4,3,,,4,3,,
169799706487474_1238882429579191,https://www.facebook.com/CGTNFrancais/posts/1238882429579191,"Le géant du secteur technologique, #Apple Inc., a confirmé que le ralentissement lié à la dégradation de #batteries n'affecterait que les possesseurs d'iPhones âgés, à l'exclusion de tout autre appareil Apple comme les iPads, montres Apple ou MacBooks.

Dans son dernier document de mise à jour, Apple a indiqué que les iPads et autres appareils d'Apple ne seraient pas ralentis par les mises à jour logicielles destinées aux iPhones âgés aux batteries détériorées.",Photo,,,"01/15/2018 08:34:01 PM"," ",40472,40316,0,78502,78210,0,1510,731,826,2,2,77000,39552,0,0,1456,0,0,0,0,0,0,0,0,0,0,11,860,3,11,883,3,383,390,,,416,410,,,2,,,,2,,,
169799706487474_1238881939579240,https://www.facebook.com/CGTNFrancais/posts/1238881939579240,"Le chef de l'anti-corruption de Chine a appelé tous les membres de la Commission centrale de contrôle de la discipline (#CCCD) du Parti communiste chinois (PCC) à sauvegarder résolument le statut de noyau dirigeant du secrétaire général Xi Jinping au sein du Comité central du #PCC et de tout le Parti.

Pour parvenir à cette fin, la CCCD doit renforcer son sens des responsabilités pour surveiller le respect de la discipline, a souligné Zhao Leji, secrétaire de la CCCD, en marge d'un séminaire qui s'est clôturé lundi. #19eCongrèsDuPCC",Photo,,,"01/15/2018 07:32:00 PM"," ",26826,26769,0,47117,46881,0,552,280,303,3,3,46186,26404,0,0,530,0,0,0,0,0,0,0,0,0,0,11,280,5,11,283,5,168,123,,,177,126,,,,3,,,,3,,
169799706487474_1238139252986842,https://www.facebook.com/CGTNFrancais/posts/1238139252986842,"#TopCGTN En Chine, de nombreux enfants doivent traverser chaque jour des montagnes et des rivières pour aller à l’école. Si la vie n’est pas toujours facile pour eux, ces courageux enfants redoublent d’efforts et de persévérance pour continuer à avancer.",Photo,,,"01/15/2018 01:30:00 PM"," ",236468,221485,0,418787,395438,0,14503,9626,11338,17,17,392245,219868,0,0,13746,0,0,0,0,0,0,0,0,0,0,361,5898,66,376,5977,71,1972,8066,,,2571,8767,,,8,8,,1,8,8,,1
169799706487474_1237987729668661,https://www.facebook.com/CGTNFrancais/posts/1237987729668661,"#19eCongrèsDuPCC Si la culture est florissante, le pays et la nation le seront aussi.",Photo,,,"01/15/2018 12:30:00 PM"," ",77718,76888,0,139536,136752,0,3412,1815,2110,5,5,135304,75842,0,0,3304,0,0,0,0,0,0,0,0,0,0,43,1758,17,46,1815,17,463,1446,,,518,1592,,,3,2,,,3,2,,
169799706487474_1238151029652331,https://www.facebook.com/CGTNFrancais/videos/1238151029652331/,"#TopCGTN  La Chine lance son premier monorail sans conducteur !
Le constructeur automobile chinois BYD et le géant de l'électronique Huawei ont conjointement lancé le mercredi 10 janvier dernier un système de monorail sans conducteur SkyRail à Yinchuan, capitale de la région autonome Hui du Ningxia (nord-ouest de la Chine).",Video,,,"01/15/2018 11:30:00 AM"," ",88317,87244,0,153825,151707,0,7968,7333,13763,12,12,148587,85312,0,0,7642,3402,3427,0,0,16039,17812,0,0,9141,42323,120,1031,11,128,1072,12,6962,42,4674,1,8598,44,5120,1,8,4,,,8,4,,
169799706487474_1237986509668783,https://www.facebook.com/CGTNFrancais/posts/1237986509668783,"#19eCongrèsDuPCC L'ouverture amène le progrès ; le repli sur soi conduit à la régression.",Photo,,,"01/15/2018 10:30:00 AM"," ",73231,72870,0,131080,130160,0,2580,1301,1542,2,2,128582,72395,0,0,2521,0,0,0,0,0,0,0,0,0,0,38,1324,5,42,1324,18,396,963,,,488,1054,,,1,1,,,1,1,,
169799706487474_1238138466320254,https://www.facebook.com/CGTNFrancais/posts/1238138466320254,"#TopCGTN  La 5e personne au monde à être guérie de la rage ! 
Après avoir été mordus par des chauves-souris vampires dans un village de Rio de Janeiro, Mateus dos Santos da Silva, un adolescent brésilien de 14 ans, son frère et sa soeur, ont tous les trois été infectés par la rage. Son frère et sa soeur sont morts quelques semaines après, mais Mateus, lui, a miraculeusement été guéri.",Photo,,,"01/15/2018 09:30:00 AM"," ",78030,76472,0,143966,141339,0,2648,1339,1537,8,9,139873,75579,0,0,2559,0,0,0,0,0,0,0,0,0,0,22,1388,28,24,1411,33,809,627,,,873,664,,,4,5,,,3,5,,
169799706487474_1238144036319697,https://www.facebook.com/CGTNFrancais/videos/1238144036319697/,"L'#Afrique est une région importante le long de l'initiative &quot;Ceinture et Route&quot;. La coopération sino-africaine a été productive. Jetons un coup d'oeil aux derniers progrès des grands projets de ceinture et de route.",Video,,,"01/15/2018 07:59:00 AM"," ",7358,7327,0,14985,14938,0,361,298,453,3,3,14316,6859,0,0,245,31,33,0,0,612,628,0,0,3954,60371,9,74,,9,74,,167,14,196,,215,16,222,,3,,,,3,,,
169799706487474_1238155849651849,https://www.facebook.com/CGTNFrancais/posts/1238155849651849,"Suivez-nous sur Instagram : cgtnfrancais !

La danse du doigt Guozhuang, dans le comté de Baiyu, dans la province du Sichuan, au sud-ouest de la Chine, est la seule danse Guozhuang, une danse folklorique traditionnelle tibétaine, qui utilise les doigts dans la performance.

Le Comté de baiyu a construit une base de données pour préserver la danse du doigt Guozhuang après que la danse ait été reconnue comme patrimoine culturel immatériel en 2015. Il a composé de nouvelles chansons et engagé d'anciens artistes pour enseigner à la jeune génération cette danse traditionnelle.

Les danses guozhuang sont généralement réalisées pendant les fêtes où les gens chantent et dansent en cercles. Le doigt guozhuang danse utilise les doigts pour représenter le corps, ce qui permet aux gens de se produire en diverses occasions et occupe moins d'espace. (Photos vcg) #danse #doigt #dance #fingers #chinese #chinesepeople #tradition #culture #culturechinoise #chinesetradition #china #chine #tibet #chineseculture #sichuan",Photo,,,"01/15/2018 07:31:00 AM"," ",67997,67435,0,126500,125827,0,2584,1782,2087,9,9,124139,66694,0,0,2521,0,0,0,0,0,0,0,0,0,0,24,898,4,25,911,4,539,1358,,,657,1430,,,3,6,,,3,6,,
169799706487474_1238127652988002,https://www.facebook.com/CGTNFrancais/posts/1238127652988002,"#CES2018 Ces photos montrent quelques produits vedettes des entreprises chinoises lors du Consumer Electronics Show (CES) de Las Vegas 2018, aux États-Unis.",Photo,,,"01/15/2018 07:20:00 AM"," ",53213,52649,0,100467,99649,0,1742,1105,1273,3,3,98114,51766,0,0,1688,0,0,0,0,0,0,0,0,0,0,20,685,6,34,689,6,300,860,,,345,928,,,2,1,,,2,1,,
169799706487474_1238189152981852,https://www.facebook.com/CGTNFrancais/posts/1238189152981852,"La guitare du film d'animation &quot;Coco&quot; fait fureur au Mexique !

Salvador Meza, luthier de père en fils au Mexique, fabrique des guitares depuis son plus jeune âge, mais ses mains tannées n'ont jamais autant travaillé que depuis la sortie de &quot;Coco&quot;, le film d'animation des studios Pixar. 

Meza, 41 ans, est basé à Paracho, dans l'Etat de Michoacan (ouest), la capitale mexicaine de la guitare, où des artisans fabriquent cet instrument depuis le XVIIIe siècle, dont nombre sont exportés aux Etats-Unis.

Cette paisible bourgade coloniale n'a jamais connu un tel engouement. Elle le doit à &quot;Coco&quot;, l'aventure d'un petit Mexicain fou de musique qui voyage au Pays des morts. Véritable succès, en premier lieu au Mexique, il a déjà engrangé plus de 500 millions de dollars dans le monde.

La guitare de Miguel, le jeune héros de &quot;Coco&quot;, n'est pas un modèle classique: blanche avec incrustations nacrées, elle est ornées de mécaniques dorées, qui permettent de l'accorder, et de motifs noirs stylisés qui font penser aux squelettes des Jours des morts. Les animateurs de Pixar (Disney) se sont inspirés d'un instrument créé par un luthier de Paracho émigré aux Etats-Unis. 

&quot;D'habitude, je travaille chez moi avec ma femme et un ami. Mais là, j'ai dû faire appel à ma belle-mère, mon neveu et mon cousin&quot;, poursuit Meza au milieu d'un nuage de sciure dans son atelier.

&quot;C'est la folie avec &quot;Coco&quot; !&quot;, lance-t-il. Pour faire face à la demande, ce luthier, qui ne dort plus que trois heures par nuit, a dû doubler sa production, passant de 50 à 100 guitares par semaine. Près d'un million de guitares sont fabriquées par an à Paracho.

Jusqu'ici, elles étaient essentiellement de couleur bois ou marron. C'était jusqu'à ce que la &quot;fièvre de Coco&quot; s'empare des lieux, raconte Maria Eugenia Gomez qui tient un magasin de guitares. A présent, tout le monde veut le modèle blanc flashy du film.

Depuis quelques semaines et la sortie mondiale du film, les artisans de cette ville ont dû nettement augmenter la cadence.

(Photos : Ronaldo SCHEMIDT / AFP + Imbd)",Photo,,,"01/15/2018 06:35:01 AM"," ",130894,129539,0,235470,232319,0,6181,3672,4170,11,12,229815,127707,0,0,5963,0,0,0,0,0,0,0,0,0,0,42,2779,27,42,2779,48,1247,2641,,,1434,2736,,,5,6,,1,5,6,,1
169799706487474_1238008206333280,https://www.facebook.com/CGTNFrancais/posts/1238008206333280,"Une ligne ferroviaire à grande vitesse a été récemment mise en service à titre d'essai, reliant Chongqing et Guiyang, deux grandes villes du sud-ouest de la Chine. Cette ligne a été conçue pour les trains roulant à une vitesse de 200 km/h.",Photo,,,"01/15/2018 06:30:00 AM"," ",115489,110643,0,210404,201617,0,6061,3345,4010,9,9,199735,109584,0,0,5800,0,0,0,0,0,0,0,0,0,0,179,2683,22,198,2683,24,749,2819,,,927,3083,,,3,5,,1,3,5,,1
169799706487474_1238007589666675,https://www.facebook.com/CGTNFrancais/posts/1238007589666675,"Huit #fossiles de #dinosaures et d'un oiseau datant d'au moins 125 millions d'années ont été renvoyés en #Chine depuis l'#Europe. Samedi, ces fossiles ont été exposés dans un musée paléontologique de la province chinoise du Liaoning (nord-est). C'est dans cette province qu'ils avaient initialement été découverts.",Photo,,,"01/15/2018 05:30:00 AM"," ",50675,50559,0,95693,95441,0,1682,1203,1381,0,0,94185,50110,0,0,1634,0,0,0,0,0,0,0,0,0,0,8,494,1,8,506,1,342,926,,,405,976,,,,,,,,,,
169799706487474_1238127109654723,https://www.facebook.com/CGTNFrancais/posts/1238127109654723,"La construction de la première ville durable sino-française est entrée dans sa phase concrète à Wuhan, capitale de la province chinoise du Hubei (centre), ont indiqué dimanche les autorités locales. Selon un accord signé en mars 2014 entre les gouvernements chinois et français, en présence des chefs d'Etat des deux pays, ce projet prévoit de construire un éco-quartier exemplaire pour le développement durable et de l'urbanisme dans l'arrondissement de Caidian, à Wuhan, sur une superficie prévue de 39 kilomètres carrés.",Photo,,,"01/15/2018 04:30:00 AM"," ",65715,64132,0,122111,118943,0,2464,1322,1489,4,4,117602,63593,0,0,2379,0,0,0,0,0,0,0,0,0,0,55,1226,9,58,1226,12,530,840,,,589,900,,,3,,,1,3,,,1
169799706487474_1238047122996055,https://www.facebook.com/CGTNFrancais/posts/1238047122996055,"Le cheval français Vésuve de Brekka, cadeau diplomatique offert par le président français Emmanuel Macron à son homologue chinois Xi Jinping lors de sa première visite officielle en Chine du 8 au 10 janvier, est actuellement en quarantaine, pour une durée de 30 jours.

Le cheval est arrivé en Chine le 4 janvier et est en bonne santé, a déclaré le bureau d'inspection et de quarantaine de Beijing, suite à l'inspection initiale de l'animal. (photos VCG)",Photo,,,"01/15/2018 03:30:00 AM"," ",109274,107558,0,202361,198267,0,5821,3225,3853,9,9,196245,106633,0,0,5590,0,0,0,0,0,0,0,0,0,0,78,2811,17,84,2908,18,1254,2219,,,1424,2429,,,3,6,,,3,6,,
169799706487474_1238141882986579,https://www.facebook.com/CGTNFrancais/videos/1238141882986579/,"#CorrespondantsSpéciaux Dans le cadre de la tournée africaine du ministre chinois des Affaires étrangères Wang Yi, notre correspondante Christina Gnahouré a rencontré un expert pour décrire les enjeux de cette tournée et parler de la contribution de la Chine à l'émergence des pays africains.",Video,,,"01/15/2018 03:00:00 AM"," ",21484,21032,0,37710,37038,0,993,858,1453,2,2,34368,19261,0,0,801,80,80,0,0,2835,3098,0,0,5387,177939,18,177,3,19,179,3,675,15,464,,892,15,546,,1,1,,,1,1,,
169799706487474_1238259902974777,https://www.facebook.com/CGTNFrancais/videos/1238259902974777/,"Un aspect de Xi Jinping que vous n'avez probablement jamais vu
En tant que dirigeant d'un pays de plus de 1,3 milliard de personnes, le président chinois #XiJinping a rarement l'occasion de dévoiler des aspects plus intimes de sa personne au public. Pourtant, en rendant visite à des vieux amis ou durant des moments de répit entre diverses activités diplomatiques, le président chinois #XiJinping a laissé entrevoir une partie de sa personnalité au monde entier. #GuanghuaStudio",Video,,,"01/15/2018 02:59:40 AM"," ",2446680,143774,2314135,3229798,190695,2966567,144786,138045,157991,26,27,594642,398276,504949,356922,23758,1675,1756,21905,21905,25724,26659,488364,539176,10842,264233,1311,8370,241,1390,8119,273,25715,19,118392,19,33572,21,124379,19,16,8,,3,16,8,,3
169799706487474_1238128219654612,https://www.facebook.com/CGTNFrancais/posts/1238128219654612,"Des membres de la cinquième équipe de police de maintien de la paix chinoise au #Liberia participent à un exercice tactique intégré à Monrovia, capitale du Liberia, en prévision de diverses situations d'urgence.",Photo,,,"01/15/2018 02:30:01 AM"," ",177866,171551,0,325898,315502,0,10628,7382,8357,13,13,312412,170330,0,0,10248,0,0,0,0,0,0,0,0,0,0,166,3618,15,177,3683,15,1353,6336,,,1636,6721,,,8,5,,,8,5,,
169799706487474_1238177162983051,https://www.facebook.com/CGTNFrancais/posts/1238177162983051,"#JO2018 : Des délégués nord et sud-coréens ont entamé lundi des discussions sur de possibles prestations d'artistes du Nord en février lors des jeux Olympiques au Sud, auxquels Pyongyang a accepté de participer.

Après des mois d'incertitude, la Corée du Nord a décidé la semaine dernière, lors du premier dialogue officiel intercoréen en plus de deux ans, d'envoyer aux jeux de Pyeongchang (9-25 février) une délégation comptant non seulement des athlètes, mais aussi des pom-pom girls ou encore des artistes.

Quatre délégués du Nord et autant du Sud se sont retrouvés aujourd'hui 15 janvier, peu après 10H00 (01H00 GMT) dans la partie nord de la &quot;zone commune de sécurité&quot; (JSA) du village frontalier de Panmunjom, a annoncé le ministère sud-coréen de l'Unification.

Parmi la délégation nord-coréenne figurent Kwon Hyok-Bong, un haut responsable du ministère nord-coréen de la Culture, et Hyon Song-Wol, figure de proue du plus populaire groupe pop de Corée du Nord, Moranbong, qui est entièrement féminin.

Créé en 2012 et comptant dix membres, qui seraient toutes choisies par le leader nord-coréen Kim Jong-Un, ce groupe a bouleversé la scène musicale nord-coréenne avec ses interprétations de succès occidentaux comme &quot;My Way&quot; ou la chanson-titre du film &quot;Rocky&quot;, joués sur des violons électriques. Mais son répertoire compte aussi nombre de chansons patriotiques.

Le Sud a proposé au Nord un défilé en commun lors de la cérémonie d'ouverture, ainsi qu'une équipe féminine unie en hockey sur glace, a annoncé vendredi un ministre sud-coréen.

Les instances olympiques comme la Corée du Sud tiennent à la participation de Pyongyang -qui avait boycotté les jeux de 1988 à Séoul- à des jeux d'hiver qui ont été présentés comme les &quot;Jeux de la Paix&quot;. (Avec AFP / AFP Photo : South Korean Unification Ministry)",Photo,,,"01/15/2018 02:00:00 AM"," ",56074,55607,0,102853,101621,0,1650,972,1145,7,7,100339,54978,0,0,1595,0,0,0,0,0,0,0,0,0,0,26,671,5,26,671,5,502,525,,,568,577,,,4,3,,,4,3,,
169799706487474_1238140226320078,https://www.facebook.com/CGTNFrancais/videos/1238140226320078/,"Une délégation sud-coréenne est partie lundi pour mener des discussions de travail avec leurs homologues de la RPDC, République populaire démocratique de Corée en vue de préparer la participation du Nord aux Jeux olympiques d'hiver de PyeongChang.",Video,,,"01/15/2018 01:30:00 AM"," ",14783,14772,0,28761,28726,0,683,584,993,2,2,27976,14376,0,0,609,75,76,0,0,1227,1274,0,0,2979,49299,9,128,,9,128,,513,5,320,,626,5,362,,1,1,,,1,1,,
169799706487474_1238204586313642,https://www.facebook.com/CGTNFrancais/videos/1238204586313642/,"Culture Express 01/15",Video,,,"01/15/2018 01:00:18 AM"," ",30083,27381,0,46642,43207,0,3360,2630,3547,6,6,36850,22255,0,0,2917,7,7,0,0,7232,7543,0,0,11042,918368,60,872,112,71,1258,127,1076,3,2099,,1409,3,2135,,2,4,,,2,4,,
169799706487474_1238198262980941,https://www.facebook.com/CGTNFrancais/posts/1238198262980941,"Indonésie : l'effondrement partiel du bâtiment de la bourse de Jakarta fait des dizaines de blessés

Le plafond du premier étage du bâtiment abritant la bourse de Jakarta s'est partiellement effondré lundi, faisant des dizaines de blessés, selon les médias indonésiens.

Les blessés, en majorité des femmes, ont été évacués vers les hôpitaux les plus proches.

L'incident est survenu à 12h10 heure locale, peu après la conclusion de la séance du matin de la bourse de Jakarta.

Un témoin a indiqué que l'effondrement s'était produit dans la tour numéro deux de la bourse, à l'heure du déjeuner, alors que de nombreuses personnes se trouvaient au premier étage.

La police a déclaré qu'une enquête était en cours pour éclaircir les circonstances de cet incident. (photos vcg)",Photo,,,"01/15/2018 12:39:50 AM"," ",48251,47442,0,83606,82362,0,1333,835,925,3,3,81360,46858,0,0,1301,0,0,0,0,0,0,0,0,0,0,26,506,3,26,510,5,353,522,,,377,548,,,,3,,,,3,,
169799706487474_1238029376331163,https://www.facebook.com/CGTNFrancais/videos/1238029376331163/,"Le pétrolier iranien Sanchi a coulé au large des côtes de Shanghai après une forte explosion. Les 29 membres de l'équipage sont portés disparus.",Video,,,"01/15/2018 12:30:00 AM"," ",68422,67290,0,124746,123060,0,7884,7446,14520,18,18,120558,65859,0,0,7428,2501,2506,0,0,10345,10997,0,0,7629,40702,93,703,6,101,737,8,7143,2,5174,,8909,2,5609,,7,9,,2,7,9,,2
169799706487474_1238028442997923,https://www.facebook.com/CGTNFrancais/videos/1238028442997923/,"Le ministre chinois des Affaires étrangères Wang Yi a rencontré le Président angolais Joao Lourenco dans la capitale Luanda samedi.",Video,,,"01/14/2018 11:30:00 PM"," ",21822,21774,0,39395,39167,0,1150,950,1666,3,4,38290,21138,0,0,1034,197,198,0,0,2504,2630,0,0,3658,43582,13,242,6,15,239,7,844,1,489,,1087,1,578,,,4,,,,3,,
169799706487474_1238030286331072,https://www.facebook.com/CGTNFrancais/videos/1238030286331072/,"La RPDC et la Corée du Sud doivent tenir des pourparlers de niveau opérationnel dans le village transfrontalier de Panmunjom lundi.",Video,,,"01/14/2018 10:30:00 PM"," ",23517,23405,0,43151,42867,0,1460,1288,2317,5,5,41816,22544,0,0,1339,298,299,0,0,2332,2375,0,0,3581,38462,12,212,,12,213,,1211,2,738,,1500,2,815,,2,3,,,2,3,,
169799706487474_1237986196335481,https://www.facebook.com/CGTNFrancais/posts/1237986196335481,"L'Afrique du Sud demandera lundi à l'ambassade américaine à Pretoria de s'expliquer sur les propos du Président Donald Trump concernant les &quot;pays de merde&quot;.",Photo,,,"01/14/2018 09:30:00 PM"," ",169309,158036,0,287210,266225,0,5412,3230,3774,23,23,264740,155718,0,0,5073,0,0,0,0,0,0,0,0,0,0,166,2258,238,190,2281,282,2347,1011,,,2691,1083,,,12,11,,,12,11,,
169799706487474_1237986079668826,https://www.facebook.com/CGTNFrancais/posts/1237986079668826,"Au moins deux personnes ont perdu la vie après un fort séisme de magnitude 7,3 qui a frappé dimanche matin le #Pérou, tandis qu'on compte des dizaines de blessés et que 17 personnes sont portées disparues dans l'effondrement d'une mine provoqué par le tremblement de terre, a annoncé le ministère de la Santé.",Photo,,,"01/14/2018 08:30:01 PM"," ",124981,121048,0,212308,206668,0,6273,3961,4610,9,9,204504,119998,0,0,6086,0,0,0,0,0,0,0,0,0,0,99,2480,20,109,2480,25,977,3159,,,1173,3437,,,4,5,,,4,5,,
169799706487474_1237984823002285,https://www.facebook.com/CGTNFrancais/posts/1237984823002285,"La République populaire démocratique de Corée (#RPDC) a condamné dimanche le Président sud-coréen Moon Jae-in, qui a félicité les États-Unis d'avoir fait pression sur Pyongyang pour les récents pourparlers intercoréens.",Photo,,,"01/14/2018 07:30:00 PM"," ",150546,139990,0,251492,236249,0,6559,3989,4526,14,14,234584,138424,0,0,6100,0,0,0,0,0,0,0,0,0,0,124,2693,18,132,2761,22,1410,2761,,1,1564,2961,,1,5,9,,,5,9,,
169799706487474_1237984513002316,https://www.facebook.com/CGTNFrancais/posts/1237984513002316,"Le ministre chinois des Affaires étrangères Wang Yi a rejeté les allégations erronées selon lesquelles les financements apportés par la Chine auraient alourdi la dette des pays africains.",Photo,,,"01/14/2018 06:30:00 PM"," ",26292,26041,0,49425,48899,0,662,270,311,3,3,48132,25373,0,0,635,0,0,0,0,0,0,0,0,0,0,16,393,6,16,403,7,149,133,,,171,140,,,2,1,,,2,1,,
169799706487474_1237229276411173,https://www.facebook.com/CGTNFrancais/videos/1237229276411173/,"L'état d'urgence prolongé pour combattre la menace terroriste

L'Égypte a prolongé l'état d'urgence dans tout le pays de trois mois supplémentaires. Le décret autorise l'armée et la police à entreprendre toutes les mesures nécessaires pour combattre le terrorisme. L'état d'urgence a tout d'abord été imposé en avril 2017, suite aux attentats à la bombe dans deux églises qui ont fait 47 morts. Il a par la suite été prolongé en juillet.",Video,,,"01/14/2018 04:00:00 PM"," ",53380,52984,0,94112,92943,0,5653,5314,9881,7,7,90530,51382,0,0,5310,239,251,0,0,8399,9156,0,0,7358,130174,69,563,8,72,585,10,4785,15,3245,,6171,16,3694,,1,4,,2,1,4,,2
169799706487474_1237131583087609,https://www.facebook.com/CGTNFrancais/videos/1237131583087609/,"Beijing et les régions alentour prennent des mesures pour limiter la propagation de la grippe 

Les autorités de Beijing et des zones alentour essaient de contenir l'épidémie de grippe. Le pic des patients met la pression sur les ressources.",Video,,,"01/14/2018 02:25:00 PM"," ",31158,31088,0,58440,58304,0,1920,1711,3239,3,3,56997,30137,0,0,1779,265,265,0,0,4105,4372,0,0,4038,45225,16,288,5,20,289,5,1586,7,953,,2084,8,1147,,1,2,,,1,2,,
169799706487474_1237163443084423,https://www.facebook.com/CGTNFrancais/posts/1237163443084423,"#19eCongrèsDuPCC Nous devons garder notre fermeté politique et faire un travail solide en faveur du redressement du pays.",Photo,,,"01/14/2018 12:30:01 PM"," ",59351,58989,0,106418,105836,0,1637,956,1159,4,6,104370,58379,0,0,1562,0,0,0,0,0,0,0,0,0,0,16,733,6,19,749,6,306,702,,,370,789,,,5,1,,,3,1,,
169799706487474_1237171353083632,https://www.facebook.com/CGTNFrancais/posts/1237171353083632,"Etats-Unis : salon nautique à Chicago 

Salon des bateaux, des navires de plaisance et des voiliers à Chicago, aux Etats-Unis, le 11 janvier 2018. Ce salon se tient du 10 au 14 janvier. Une centaine de producteurs de bateaux, de yachts, de voiliers et de navires de plaisance y ont présenté leurs derniers modèles.",Photo,,,"01/14/2018 11:00:01 AM"," ",204245,190615,0,359072,339456,0,11530,6760,7968,10,13,336810,188087,0,0,10997,0,0,0,0,0,0,0,0,0,0,326,5293,32,355,5293,35,1476,5703,,,1931,6037,,,9,4,,,6,4,,
169799706487474_1237159959751438,https://www.facebook.com/CGTNFrancais/posts/1237159959751438,"Voici le plus petit chat du monde !

Une bande annonce d'un programme de la BBC dévoile le plus petit félin au monde. Dans l'extrait, on aperçoit le chat sauvage explorer une forêt sri lankaise, son lieu d'habitation. On trouve également cette espèce de félin tacheté en Inde et au Népal. De la taille d'un chaton, l'animal, prionailurus rubiginosus de son nom scientifique, est pourtant bien adulte.",Photo,,,"01/14/2018 10:00:01 AM"," ",105366,104657,0,190862,189063,0,4478,2507,2996,8,11,186780,103460,0,0,4283,0,0,0,0,0,0,0,0,0,0,66,2209,20,66,2209,28,828,1877,,1,963,2032,,1,9,2,,,6,2,,
